1	3483981.580714980000 	-41915.310498024400 	-324593.7688
0.95	3484006.261092020000 	-43030.026875864900 	-324816.712
0.9	3484074.694290560000 	-43680.346309719800 	-324946.7759
0.85	3484338.660084930000 	-45037.747704023500 	-325218.2562
0.8	3484887.192288870000 	-46801.189916078500 	-325570.9446
0.75	3487461.562791070000 	-52870.129843722200 	-326784.7326
0.7	3490218.304781080000 	-58018.519964030600 	-327814.4107
0.65	3490676.625087090000 	-58697.322697932700 	-327950.1712
0.6	3490943.442371460000 	-59048.502168924200 	-328020.4071
0.55	3491716.970917300000 	-59735.523058854400 	-328157.8113
0.5	3492433.520006570000 	-60322.620391541500 	-328275.2307
0.45	3492464.259436800000 	-60352.621122925200 	-328281.2309
0.4	3492549.720470350000 	-60405.645377553900 	-328291.8357
0.35	3492808.347658030000 	-60581.145980305700 	-328326.9359
0.3	3495147.411767210000 	-61275.873610653600 	-328465.8814
0.25	3496426.964277730000 	-61661.880563500700 	-328543.0828
0.2	3496487.867749420000 	-61685.444809730300 	-328547.7956
0.15	3496764.725678170000 	-61729.334139147400 	-328556.5735
0.1	3497043.218239810000 	-61747.063686160000 	-328560.1194
0.05	3500465.311257220000 	-61905.052889214900 	-328591.7172
0	3512136.431855030000 	-62036.670071109300 	-328618.0407
